施打站代碼,施打站全稱,是否接受預約,施打站簡稱,施打站縣市,施打站行政區,施打站地址,施打站經度,施打站緯度,是否有預約網站供爬蟲,預約網址,是否接受電話預約,預約電話,爬蟲程式碼位置,資料抓取時間,爬蟲人,資料來源,開放預約時間,NOTE,Last Modified,Last Modified By
0111070010,衛生福利部基隆醫院,,,基隆市,信義區,基隆市信義區信二路268號,121.7483,25.13046,有，可用爬蟲抓資料,https://netreg.kln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,,02-24292525,https://vaxx.g0v.ronny.tw/crawl-kln.mohw.php,,Ronny Wang,https://github.com/ronnywang/vaxx-crawler/blob/master/crawl-kln.mohw.php,,,2021年7月1日 12:23中午,Sean Gau
0511040010,三軍總醫院附設基隆民眾診療服務處,,,基隆市,仁愛區,基隆市中正區正榮街100號，仁愛區孝二路39號2樓,121.7629,25.14467,,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/50000/16472,,02-24633330,,,,,,,2021年7月1日 12:23中午,Sean Gau
1111060015,長庚醫療財團法人基隆長庚紀念醫院,,,基隆市,安樂區,基隆市安樂區麥金路222號、基隆市麥金路201號,121.7224,25.12088,,https://register.cgmh.org.tw/Department/2/20990B,,02-24313131,,,,,,,2021年7月1日 12:23中午,Sean Gau
0101090517b,臺北市立聯合醫院-陽明院區,目前不接受預約,,臺北市,士林區,台北市士林區雨聲街105號,121.5316,25.10519,有，可用爬蟲抓資料,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=M&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-28389167,,,,,,,2021年7月1日 12:23中午,Sean Gau
0101090517f,臺北市立聯合醫院-中興院區,目前不接受預約,,臺北市,大同區,台北市大同區鄭州路145號2F,121.5089,25.05069,有，可用爬蟲抓資料,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=G&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-25523234,,,,,,,2021年7月1日 12:23中午,Sean Gau
0101090517g,臺北市立聯合醫院-忠孝院區,目前不接受預約,,臺北市,南港區,臺北市南港區同德路87號,121.5862,25.04651,有，可用爬蟲抓資料,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=Q&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27861288,,,,,,,2021年7月1日 12:23中午,Sean Gau
0101090517h,臺北市立聯合醫院-仁愛院區,目前不接受預約,,臺北市,大安區,台北市大安區仁愛路四段10號,121.5453,25.03754,有，可用爬蟲抓資料,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=F&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27093600,,,,,,,2021年7月1日 12:23中午,Sean Gau
0101090517i,臺北市立聯合醫院和平院區,目前不接受預約,,臺北市,中正區,臺北市中華路2段33號,121.5067,25.03559,有，可用爬蟲抓資料,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=H&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-23889595,,,,,,,2021年7月1日 12:23中午,Sean Gau
0401180014,國立台灣大學醫學院附設醫院,接受預約中,,臺北市,中正區,臺北市中正區中山南路7、8號；常德街1號,121.5186,25.04078,有，可用爬蟲抓資料,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T0&Reg=,,02-23123456,,,,,,,2021年7月1日 12:23中午,Sean Gau
0501110514,三軍總醫院附設民眾診療服務處,,,臺北市,內湖區,臺北市內湖區成功路2段325號,121.5920,25.07180,有，可用爬蟲抓資料,https://www2.ndmctsgh.edu.tw/newwebreg/Register/Doctors?pos=B&DeptCode=11A&DeptGroup=4,,02-87923311,,,,,,,2021年7月2日 4:58下午,Y C
0601160016,臺北榮民總醫院,,,臺北市,北投區,臺北市北投區石牌路2段201號,121.5192,25.11918,有，可用爬蟲抓資料,https://www6.vghtpe.gov.tw/reg/c19vaccAnn.do,,02-28712121,,,,,,,2021年7月2日 4:56下午,Y C
1101010012,長庚醫療財團法人臺北長庚紀念醫院,,,臺北市,松山區,臺北市松山區敦化北路199號,121.5496,25.05551,有，可用爬蟲抓資料,https://register.cgmh.org.tw/Department/1/10990D,,02-27135211,,,,,,,2021年7月2日 4:58下午,Y C
1101010021,基督復臨安息日會醫療財團法人臺安醫院,,,臺北市,松山區,臺北市松山區八德路2段424、426號,121.5478,25.04771,,https://www.tahsda.org.tw/Register/add_sub.php?sub=00E,,02-27718151,,,,,,,2021年7月1日 12:23中午,Sean Gau
1101020018,國泰醫療財團法人國泰綜合醫院,,,臺北市,大安區,臺北市大安區仁愛路4段280號，266巷6號,121.5442,25.03767,,https://reg.cgh.org.tw/tw/reg/main.jsp?source=V,,02-27082121,,,,,,,2021年7月1日 12:23中午,Sean Gau
1101100011,臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,,,臺北市,中山區,臺北市中山區中山北路2段92號,121.5226,25.05888,,https://www.mmh.org.tw/register_divide.php?depid=234,,02-25433535,,,,,,,2021年7月1日 12:23中午,Sean Gau
1101150011,新光醫療財團法人新光吳火獅紀念醫院,,,臺北市,士林區,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,121.5203,25.09624,,https://www.skh.org.tw/skh_regis/#/register/step,,02-28332211,,,,,,,2021年7月1日 12:23中午,Sean Gau
1101160017,振興醫療財團法人振興醫院,,,臺北市,北投區,臺北市北投區振興街45號,121.5224,25.11754,,https://www2.chgh.org.tw/CovidMain.aspx,,02-28264400,,,,,,,2021年7月1日 12:23中午,Sean Gau
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,,,臺北市,北投區,臺北市北投區立德路125號,121.4720,25.12834,,https://www.kfsyscc.org/m/archives/11688,,02-28970011,,,,,,,2021年7月1日 12:23中午,Sean Gau
1301170017,臺北醫學大學附設醫院,,,臺北市,信義區,臺北市信義區吳興街252號、250號,121.5636,25.02664,,https://www.tmuh.org.tw/special/covid19#,,02-27372181,,,,,,,2021年7月1日 12:23中午,Sean Gau
1301200010,臺北市立萬芳醫院-委託財團法人台北醫學大學辦理,,,臺北市,文山區,臺北市文山區興隆路3段111號,121.5583,25.00031,,https://www.wanfang.gov.tw/p3_register_e3.aspx?deptcode=B054&depttype=A&deptdesc=%E5%85%AC%E8%B2%BBCOVID-19%E7%96%AB%E8%8B%97%E9%96%80%E8%A8%BA&depttype2=A,,02-29307930,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101010013,臺北市立聯合醫院松山門診部,,,臺北市,松山區,臺北市松山區八德路4段694號1、2樓,121.5773,25.04967,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=A&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27653147,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101020019,臺北市立聯合醫院大安門診部,,,臺北市,大安區,臺北市大安區辛亥路3段15號,121.5443,25.02157,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=4&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27390997,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101090011,臺北市立聯合醫院大同門診部,,,臺北市,大同區,臺北市大同區昌吉街52號1至2樓,121.5163,25.06582,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=V&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-25948971,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101100227,臺北市立聯合醫院中山門診部,,,臺北市,中山區,臺北市中山區松江路367號1樓,121.5335,25.06440,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=P&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-25013363,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101110027,臺北市立聯合醫院內湖門診部,,,臺北市,內湖區,臺北市內湖區民權東路6段99號,121.5889,25.06923,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=N&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27908387,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101120014,臺北市立聯合醫院南港門診部,,,臺北市,南港區,臺北市南港區南港路1段360號1樓,121.6068,25.05453,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=R&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-27868756,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101150012,臺北市立聯合醫院士林門診部,,,臺北市,士林區,臺北市士林區中正路439號1樓,121.5197,25.09285,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=L&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-28836268,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101161033,臺北市立聯合醫院北投門診部,,,臺北市,北投區,臺北市北投區新市街30號5樓,121.5027,25.13267,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=T&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-28912670,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101170050,臺北市立聯合醫院信義門診部,,,臺北市,信義區,臺北市信義區信義路5段15號,121.5669,25.03315,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=E&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-87804152,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101180038,臺北市立聯合醫院中正門診部,,,臺北市,中正區,臺北市中正區牯嶺街24號,121.5160,25.03049,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=5&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-23210168,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101191068,臺北市立聯合醫院萬華門診部,,,臺北市,萬華區,臺北市萬華區東園街152號,121.4976,25.02318,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=U&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-23395384,,,,,,,2021年7月1日 12:23中午,Sean Gau
2101200017,臺北市立聯合醫院政大門診部,,,臺北市,文山區,臺北市文山區指南路2段117號,121.5765,24.98762,,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=D&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,,02-82377441,,,,,,,2021年7月1日 12:23中午,Sean Gau
0131020016,新北市立聯合醫院,接受預約中,,新北市,三重區,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,121.4908,25.06087,有，可用爬蟲抓資料,https://reg.ntch.ntpc.gov.tw:4443/VaccineWeb,,02-29829111,,,,,,,2021年7月2日 2:24下午,Dora lyn
0131060010,衛生福利部樂生療養院,接受預約中,,新北市,新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,121.4180,25.02934,有，可用爬蟲抓資料,https://netreg.lslp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=01SB&Date=&Noon=,,02-82006600,,,,,2021/07/02; 2021/07/03; 2021/07/04,,2021年7月2日 4:09下午,Y C
0131060010,衛生福利部樂生療養院,接受預約中,,新北市,新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,121.4180,25.02934,有，可用爬蟲抓資料,https://netreg.lslp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=01S8&Date=&Noon=,,02-82006600,,,,,2021/07/01; 2021/07/02; 2021/07/03; 2021/07/04,,2021年7月2日 4:10下午,Y C
0131060010,衛生福利部樂生療養院,接受預約中,,新北市,新莊區,新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號,121.4180,25.02934,有，可用爬蟲抓資料,https://netreg.lslp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=01SA&Date=&Noon=,,02-82006600,,,,,2021/07/02; 2021/07/03; 2021/07/04,,2021年7月2日 4:10下午,Y C
0431270012,國立臺灣大學醫學院附設醫院金山分院,接受預約中,,新北市,金山區,新北市金山區五湖里玉爐路7號,121.6283,25.21947,有，可用爬蟲抓資料,https://reg.ntuh.gov.tw/WebAdministration/VaccineClinicReg.aspx?Hosp=T3&Reg=,,02-24989898,,,,,,,2021年7月2日 2:42下午,Dora lyn
