醫事機構代碼（自動）,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）
0102020011,高雄市立聯合醫院,高雄市,鼓山區,高雄市鼓山區中華一路976號,120.291698,22.654924,https://reg.kmuh.gov.tw/netReg/DeptUI.aspx,07-5552565
0102070020,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),高雄市,前金區,高雄市前金區中華三路68號,120.297205,22.626989,https://www.kmtth.org.tw/web/BookVaccineSysInter,07-2911101
0102080017,高雄市立民生醫院,高雄市,苓雅區,高雄市苓雅區凱旋二路134號及132號5樓,120.32363101212019,22.626882364314245,https://www.kmsh.gov.tw/vaccine_reg/,07-7511131
0111070010,衛生福利部基隆醫院,基隆市,信義區,基隆市信義區信二路268號,121.748322,25.130455,https://netreg.kln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,02-24292525
0117030010,衛生福利部臺中醫院,臺中市,西區,臺中市西區三民路一段199號,120.675711,24.140225,https://www.taic.mohw.gov.tw/?aid=301&page_name=detail&iid=5897,04-22294411
0121050011,衛生福利部臺南醫院,臺南市,中西區,臺南市中西區中山路125號,120.209228,22.995819,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,06-2200055
0122020517,衛生福利部嘉義醫院,嘉義市,西區,嘉義市西區福全里北港路312號,120.4308,23.479849,https://chyiwww001.chyi.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0227&Date=&Noon=,05-2319090
0135010016,衛生福利部苗栗醫院,苗栗縣,苗栗市,苗栗縣苗栗市為公路747號,120.840405,24.575655,https://reg2.mil.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CO02&Date=&Noon=,037-261920
0136010010,衛生福利部豐原醫院,臺中市,豐原區,臺中市豐原區安康路100號,120.725292,24.242706,https://web1.fyh.mohw.gov.tw/oinetregweb/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0119&Date=&Noon=,04-25271180
0137170515,衛生福利部彰化醫院,彰化縣,埔心鄉,彰化縣埔心鄉舊館村中正路二段80號,120.527299,23.950225,https://reg.chhw.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=C&Way=Dept&DivDr=0111&Date=&Noon=,04-8298686
0138010027,衛生福利部南投醫院,南投縣,南投市,南投縣南投市康壽里復興路478號,120.685294,23.914093,https://netreg01.nant.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0219&Date=&Noon=,049-2231150
0138030010,衛生福利部草屯療養院,南投縣,草屯鎮,南投縣草屯鎮玉屏路161號,120.704532,23.990395,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0138030010,049-2550800
0140010028,衛生福利部朴子醫院,嘉義縣,朴子市,嘉義縣朴子市永和里42－50號,120.234634,23.464433,https://netreg.puzih.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0208&Date=&Noon=,05-3790600
0141010013,衛生福利部新營醫院,臺南市,新營區,臺南市新營區信義街73號,120.3121959,23.3083566,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0141010013,06-6351131
0141270019,衛生福利部胸腔病院,臺南市,仁德區,臺南市仁德區中山路864號,120.241802,22.975462,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0141270019,06-2705911
0143010011,衛生福利部屏東醫院,屏東縣,屏東市,屏東縣屏東市自由路270號,120.495546,22.673264,http://netreg.pntn.mohw.gov.tw/OInetreg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0219&Date=&Noon=,08-7363011
0144010015,衛生福利部澎湖醫院,澎湖縣,馬公市,澎湖縣馬公市啟明里中正路10號,119.565423,23.564553,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0144010015,06-9261151
0145010019,衛生福利部花蓮醫院,花蓮縣,花蓮市,花蓮縣花蓮市中正路600號,121.61118,23.979479,https://webreg.hwln.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=01CO&Date=&Noon ,03-8358141
0145030020,衛生福利部玉里醫院,花蓮縣,玉里鎮,花蓮縣玉里鎮中華路448號,121.320848,23.34749,https://reg.ttyl.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=CD19&Date=&Noon=,03-8886141
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣,豐濱鄉,花蓮縣豐濱鄉豐濱村光豐路41號,121.521306,23.601975,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0145080011,03-8358141
